ID,Member,Order,SKU
229,SSLLWWZ,8201012,15668460
230,SSLLWWZ,8201012,15668377
231,SSLLZCO,8195870,15668381
232,SSLLZCO,8195870,15668379
233,SSLLZCO,8195870,15668478
234,SSLLZCO,8195870,15668684
235,SSLLZCO,8195870,15668462
236,SSLNESH,8071092,15668465
237,SSLNESH,8071092,15668494
238,SSLNESH,8071092,15668462
239,SSLNESH,8071092,7580823
240,SSLNESH,8071092,15668460
241,SSLNHHC,8089109,15669777
242,SSLNHHC,8089109,15669780
243,SSLNHHC,8089109,15669772
244,SSLNHHC,8089109,15669804
245,SSLNHHC,8089109,15669857
246,SSLOEEO,8106023,15668381
247,SSLOEEO,8106023,15668465
248,SSLOEEO,8106023,15670251
249,SSLOEEO,8106023,15669771
250,SSLOEEO,8106023,15668379
251,SSLOLSS,8273082,15670260
252,SSLOLSS,8273082,15668478
253,SSLOLSS,8273082,15668468
254,SSLOLSS,8273082,15668379
255,SSLOLSS,8273082,15668460
256,SSLOZSC,8220172,15668467
257,SSLOZSC,8220172,15669887
258,SSLOZSC,8220172,15669818
259,SSLOZSC,8220172,7577678
260,SSLOZSC,8220172,15668381
261,SSLRELN,8283998,15668379
262,SSLRELN,8283998,15668381
263,SSLRELN,8283998,15668460
264,SSLRELN,8283998,15669778
265,SSLRELN,8283998,34986328
266,SSLREZW,8101018,15670260
267,SSLREZW,8101018,15670252
268,SSLREZW,8101018,15668466
269,SSLREZW,8101018,15670196
270,SSLREZW,8101018,15670163
271,SSLRHNL,8166326,15668688
272,SSLRHNL,8166326,15668458
273,SSLRHNL,8166326,15668381
274,SSLRHNL,8166326,15668460
275,SSLRHNL,8166326,15668519
276,SSLRSWO,7469858,15668379
277,SSLRSWO,7469858,93141092
278,SSLRSWO,7469858,7593949
279,SSLRSWO,7469858,15668465
280,SSLRSWO,7469858,93141023
281,SSLSLHL,8123487,15668460
282,SSLSLHL,8123487,15668381
283,SSLSLHL,8123487,15668688
284,SSLSLHL,8123487,15669878
285,SSLSLHL,8123487,15669786
286,SSLSNCH,8120853,15668379
287,SSLSNCH,8120853,15668378
288,SSLSNCH,8120853,15668416
289,SSLSNCH,8120853,15669824
290,SSLSNCH,8120853,15668478
291,SSLSWRE,8263472,15668460
292,SSLSWRE,8263472,15670269
293,SSLSWRE,8263472,15669762
294,SSLSWRE,8263472,21409004
295,SSLSWRE,8263472,15670267
296,SSLSZNC,8188075,15668460
297,SSLSZNC,8188075,15669866
298,SSLSZNC,8188075,15668458
299,SSLSZNC,8188075,15669772
300,SSLSZNC,8188075,15669780
301,SSLSZZE,7435518,15670241
302,SSLSZZE,7435518,15668379
303,SSLSZZE,7435518,15669870
304,SSLSZZE,7435518,15669878
305,SSLSZZE,7435518,15670251
306,SSLWEEZ,8102328,15668460
307,SSLWEEZ,8102328,15669859
308,SSLWEEZ,8102328,15669863
309,SSLWEEZ,8102328,15668478
310,SSLWEEZ,8102328,15669856
311,SSLWESH,7399616,15670260
312,SSLWESH,7399616,15668495
313,SSLWESH,7399616,15670250
314,SSLWESH,7399616,15668688
315,SSLWESH,7399616,15670241
316,SSLWESO,8133880,15668465
317,SSLWESO,8133880,15670252
318,SSLWESO,8133880,15668381
319,SSLWESO,8133880,15670260
320,SSLWESO,8133880,15668460
321,SSLWHRH,8122344,15668381
322,SSLWHRH,8122344,15668688
323,SSLWHRH,8122344,15669884
324,SSLWHRH,8122344,15668465
325,SSLWHRH,8122344,15669878
326,SSLWWWH,8285181,15669869
327,SSLWWWH,8285181,15668460
328,SSLWWWH,8285181,15669772
329,SSLWWWH,8285181,15668378
330,SSLWWWH,8285181,15669817
331,SSLZLCS,8096811,15668460
332,SSLZLCS,8096811,15668467
333,SSLZLCS,8096811,15668451
334,SSLZLCS,8096811,15668688
335,SSLZLCS,8096811,15668470
336,SSLZROS,8289766,15670269
337,SSLZROS,8289766,15668381
338,SSLZROS,8289766,15668460
339,SSLZROS,8289766,15668458
340,SSLZROS,8289766,21408947
341,SSLZROW,8226887,15668460
342,SSLZROW,8226887,15668379
343,SSLZROW,8226887,15668688
344,SSLZROW,8226887,7585571
345,SSLZROW,8226887,15668468
346,SSLZWEN,8065400,15668381
347,SSLZWEN,8065400,15668465
348,SSLZWEN,8065400,15668688
349,SSLZWEN,8065400,7580802
350,SSLZWEN,8065400,15669856
351,SSNCONE,8141684,15669821
352,SSNCONE,8141684,15668460
353,SSNCONE,8141684,15668381
354,SSNCONE,8141684,7637309
355,SSNCONE,8141684,15669869
356,SSNCRLW,8353991,15668460
357,SSNCRLW,8353991,15669760
358,SSNCRLW,8353991,15668457
359,SSNCRLW,8353991,15669763
360,SSNCRLW,8353991,34986125
361,SSNCWZO,8083081,15670250
362,SSNCWZO,8083081,15670144
363,SSNCWZO,8083081,15670252
364,SSNCWZO,8083081,15668468
365,SSNCWZO,8083081,15670241
366,SSNCZRL,8228587,15668688
367,SSNCZRL,8228587,15668465
368,SSNCZRL,8228587,15668381
369,SSNCZRL,8228587,15669782
370,SSNCZRL,8228587,15669861
371,SSNEHZR,8096305,15669884
372,SSNEHZR,8096305,34986129
373,SSNEHZR,8096305,15669869
374,SSNEHZR,8096305,15669880
375,SSNEHZR,8096305,15669760
376,SSNENRR,8355249,15668688
377,SSNENRR,8355249,15669965
378,SSNENRR,8355249,15668685
379,SSNENRR,8355249,15669887
380,SSNENRR,8355249,15669780
381,SSNERHE,8269483,15669780
382,SSNERHE,8269483,15669821
383,SSNERHE,8269483,15669769
384,SSNERHE,8269483,15669778
385,SSNERHE,8269483,15669869
386,SSNHNOE,8201626,15669832
387,SSNHNOE,8201626,15669872
388,SSNHNOE,8201626,15669814
389,SSNHNOE,8201626,15668460
390,SSNHNOE,8201626,15669781
391,SSNLCOZ,8230221,15668469
392,SSNLCOZ,8230221,15668458
393,SSNLCOZ,8230221,15669887
394,SSNLCOZ,8230221,15669861
395,SSNLCOZ,8230221,15670267
396,SSNLSZE,8124751,15668460
397,SSNLSZE,8124751,15668478
398,SSNLSZE,8124751,15668379
399,SSNLSZE,8124751,15668381
400,SSNLSZE,8124751,15668494
401,SSNLZHH,8080596,7572312
402,SSNLZHH,8080596,15668480
403,SSNLZHH,8080596,15668688
404,SSNLZHH,8080596,15669772
405,SSNLZHH,8080596,15669863
406,SSNNLRW,8087274,15669863
407,SSNNLRW,8087274,15669835
408,SSNNLRW,8087274,15668460
409,SSNNLRW,8087274,15669760
410,SSNNLRW,8087274,15668458
411,SSNNSRR,8256966,15669777
412,SSNNSRR,8256966,15669857
413,SSNNSRR,8256966,15670267
414,SSNNSRR,8256966,15669869
415,SSNNSRR,8256966,15669781
416,SSNNWWW,8335367,15668460
417,SSNNWWW,8335367,15668478
418,SSNNWWW,8335367,15668378
419,SSNNWWW,8335367,15669866
420,SSNNWWW,8335367,15668688
421,SSNOEEZ,8280275,15669799
422,SSNOEEZ,8280275,15670267
423,SSNOEEZ,8280275,15669774
424,SSNOEEZ,8280275,15669814
425,SSNOEEZ,8280275,15669760
426,SSNOOZL,8269205,29247044
427,SSNOOZL,8269205,15668460
428,SSNOOZL,8269205,15668521
429,SSNOOZL,8269205,15669821
430,SSNOOZL,8269205,7578341
431,SSNORLN,8101260,15668460
432,SSNORLN,8101260,15668469
433,SSNORLN,8101260,15668378
434,SSNORLN,8101260,15668416
435,SSNORLN,8101260,15668467
436,SSNOSCZ,8106715,15669957
437,SSNOSCZ,8106715,15668467
438,SSNOSCZ,8106715,15668378
439,SSNOSCZ,8106715,15670007
440,SSNOSCZ,8106715,15668688
441,SSNOWOC,8084987,15668688
442,SSNOWOC,8084987,15669996
443,SSNOWOC,8084987,15668460
444,SSNOWOC,8084987,15669881
445,SSNOWOC,8084987,15668378
446,SSNOWZE,8353451,15668467
447,SSNOWZE,8353451,15669988
448,SSNOWZE,8353451,15669869
449,SSNOWZE,8353451,15669878
450,SSNOWZE,8353451,15668460
451,SSNOZHH,8069214,15668460
452,SSNOZHH,8069214,15669869
453,SSNOZHH,8069214,15669863
454,SSNOZHH,8069214,15670269
455,SSNOZHH,8069214,15670267
456,SSNRHCO,8142419,7718555
457,SSNRHCO,8142419,15669872
458,SSNRHCO,8142419,15669814
459,SSNRHCO,8142419,7753742
460,SSNRHCO,8142419,15669887
461,SSNSCNE,8219465,15668379
462,SSNSCNE,8219465,15668467
463,SSNSCNE,8219465,15668460
464,SSNSCNE,8219465,15668474
465,SSNSCNE,8219465,15668449
466,SSNSECH,8080319,15668688
467,SSNSECH,8080319,15668381
468,SSNSECH,8080319,15669777
469,SSNSECH,8080319,15668460
470,SSNSECH,8080319,15669832
471,SSNWCSH,8192768,15668381
472,SSNWCSH,8192768,15670269
473,SSNWCSH,8192768,15668379
474,SSNWCSH,8192768,15669760
475,SSNWCSH,8192768,15668460
476,SSNZCOL,8237822,15668469
477,SSNZCOL,8237822,15668377
478,SSNZCOL,8237822,15670267
479,SSNZCOL,8237822,15668378
480,SSNZCOL,8237822,15668688
481,SSNZEHL,8192783,15668379
482,SSNZEHL,8192783,7689353
483,SSNZEHL,8192783,15669777
484,SSNZEHL,8192783,34986125
485,SSNZEHL,8192783,15668688
486,SSNZRZN,8213907,34987566
487,SSNZRZN,8213907,15669804
488,SSNZRZN,8213907,15669878
489,SSNZRZN,8213907,15669776
490,SSNZRZN,8213907,15669864
491,SSOCCSO,8317527,29247044
492,SSOCCSO,8317527,7572300
493,SSOCCSO,8317527,15669881
494,SSOCCSO,8317527,7569806
495,SSOCCSO,8317527,7569801
496,SSOCCZS,8336250,15669817
497,SSOCCZS,8336250,15669870
498,SSOCCZS,8336250,15669884
499,SSOCCZS,8336250,15669961
500,SSOCCZS,8336250,15669781
501,SSOEHNL,8288803,15668381
502,SSOEHNL,8288803,15668379
503,SSOEHNL,8288803,15668462
504,SSOEHNL,8288803,15668478
505,SSOEHNL,8288803,15668460
506,SSOELRH,8209866,15669777
507,SSOELRH,8209866,15669821
508,SSOELRH,8209866,15668465
509,SSOELRH,8209866,15669872
510,SSOELRH,8209866,15669789
511,SSOEZWZ,8086954,15670269
512,SSOEZWZ,8086954,15668460
513,SSOEZWZ,8086954,15669777
514,SSOEZWZ,8086954,15669817
515,SSOEZWZ,8086954,21409004
516,SSOHCZO,8114312,15668688
517,SSOHCZO,8114312,15668460
518,SSOHCZO,8114312,15668378
519,SSOHCZO,8114312,93176431
520,SSOHCZO,8114312,15668381
521,SSOHWHC,8101813,15668688
522,SSOHWHC,8101813,15668469
523,SSOHWHC,8101813,15668377
524,SSOHWHC,8101813,15668378
525,SSOHWHC,8101813,15669866
526,SSOHWLN,8146703,15669857
527,SSOHWLN,8146703,15670267
528,SSOHWLN,8146703,15669886
529,SSOHWLN,8146703,15669869
530,SSOHWLN,8146703,15669832
531,SSOHZHS,8069625,15669776
532,SSOHZHS,8069625,15669777
533,SSOHZHS,8069625,15669790
534,SSOHZHS,8069625,15669781
535,SSOHZHS,8069625,15669771
536,SSONEOS,8179077,15669881
537,SSONEOS,8179077,15668381
538,SSONEOS,8179077,15669864
539,SSONEOS,8179077,15669863
540,SSONEOS,8179077,15668378
541,SSONROH,8124069,15668381
542,SSONROH,8124069,15668519
543,SSONROH,8124069,15668688
544,SSONROH,8124069,15668462
545,SSONROH,8124069,34986125
546,SSONRWS,8152370,34986125
547,SSONRWS,8152370,15668468
548,SSONRWS,8152370,15669760
549,SSONRWS,8152370,15668478
550,SSONRWS,8152370,15669780
551,SSOOWNN,8084980,15668460
552,SSOOWNN,8084980,15669764
553,SSOOWNN,8084980,15669872
554,SSOOWNN,8084980,15668688
555,SSOOWNN,8084980,15668379
556,SSORZCC,8064972,15669856
557,SSORZCC,8064972,21408952
558,SSORZCC,8064972,15669881
559,SSORZCC,8064972,15669857
560,SSORZCC,8064972,15669764
561,SSOSHZS,8177589,15668478
562,SSOSHZS,8177589,15668465
563,SSOSHZS,8177589,15668473
564,SSOSHZS,8177589,15668378
565,SSOSHZS,8177589,15669780
566,SSOSOCH,8067980,15669880
567,SSOSOCH,8067980,15669767
568,SSOSOCH,8067980,15670267
569,SSOSOCH,8067980,15669777
570,SSOSOCH,8067980,15669821
571,SSOSOEC,8073939,15668379
572,SSOSOEC,8073939,15668478
573,SSOSOEC,8073939,7569801
574,SSOSOEC,8073939,15668480
575,SSOSOEC,8073939,15669778
576,SSOWEOO,8063597,15669832
577,SSOWEOO,8063597,15669769
578,SSOWEOO,8063597,15669878
579,SSOWEOO,8063597,15669866
580,SSOWEOO,8063597,15669780
581,SSRCCNE,8099163,34986328
582,SSRCCNE,8099163,21409004
583,SSRCCNE,8099163,15669832
584,SSRCCNE,8099163,15669763
585,SSRCCNE,8099163,15668378
586,SSRCENS,8064480,15668465
587,SSRCENS,8064480,15669859
588,SSRCENS,8064480,15668378
589,SSRCENS,8064480,15669786
590,SSRCENS,8064480,15668377
591,SSRCEWZ,8108141,15669856
592,SSRCEWZ,8108141,15669860
593,SSRCEWZ,8108141,93141092
594,SSRCEWZ,8108141,15669977
595,SSRCEWZ,8108141,15669765
596,SSRCHSH,8163444,15668460
597,SSRCHSH,8163444,15668379
598,SSRCHSH,8163444,15668458
599,SSRCHSH,8163444,15668467
600,SSRCHSH,8163444,15669777
601,SSRCRSO,8202458,15668378
602,SSRCRSO,8202458,15669861
603,SSRCRSO,8202458,15668494
604,SSRCRSO,8202458,15668469
605,SSRCRSO,8202458,34986129
606,SSRENRS,8341901,15668381
607,SSRENRS,8341901,15668688
608,SSRENRS,8341901,15669864
609,SSRENRS,8341901,15669763
610,SSRENRS,8341901,15669872
611,SSRENSN,8102497,15668460
612,SSRENSN,8102497,15668381
613,SSRENSN,8102497,15668467
614,SSRENSN,8102497,15668379
615,SSRENSN,8102497,15668688
616,SSRENSZ,8069362,15668465
617,SSRENSZ,8069362,15668462
618,SSRENSZ,8069362,15668451
619,SSRENSZ,8069362,15668467
620,SSRENSZ,8069362,15668379
621,SSRHCOW,8289377,15668379
622,SSRHCOW,8289377,15669872
623,SSRHCOW,8289377,15668688
624,SSRHCOW,8289377,15668467
625,SSRHCOW,8289377,15669880
626,SSRHCRS,8190023,15668416
627,SSRHCRS,8190023,15668688
628,SSRHCRS,8190023,15668449
629,SSRHCRS,8190023,15670251
630,SSRHCRS,8190023,15668460
631,SSRHNHL,8076187,15668685
632,SSRHNHL,8076187,15668465
633,SSRHNHL,8076187,15668379
634,SSRHNHL,8076187,15668455
635,SSRHNHL,8076187,15668473
636,SSRHSRW,8181093,15668466
637,SSRHSRW,8181093,15668381
638,SSRHSRW,8181093,15668685
639,SSRHSRW,8181093,15668494
640,SSRHSRW,8181093,15669777
641,SSRLORR,8099217,15668379
642,SSRLORR,8099217,15668465
643,SSRLORR,8099217,15669780
644,SSRLORR,8099217,15668458
645,SSRLORR,8099217,15669879
646,SSRLWLN,8132311,15669769
647,SSRLWLN,8132311,15669764
648,SSRLWLN,8132311,92380533
649,SSRLWLN,8132311,15669762
650,SSRLWLN,8132311,15669783
651,SSRNLNN,8065270,15669776
652,SSRNLNN,8065270,15669857
653,SSRNLNN,8065270,15669821
654,SSRNLNN,8065270,21408952
655,SSRNLNN,8065270,15669856
656,SSRORNN,8282341,15668468
657,SSRORNN,8282341,15668467
658,SSRORNN,8282341,15668378
659,SSRORNN,8282341,15668381
660,SSRORNN,8282341,15668473
661,SSRRCCE,8247472,15668379
662,SSRRCCE,8247472,15668468
663,SSRRCCE,8247472,92387970
664,SSRRCCE,8247472,15668685
665,SSRRCCE,8247472,15668460
666,SSRRHLE,8100379,15668381
667,SSRRHLE,8100379,34990774
668,SSRRHLE,8100379,15669780
669,SSRRHLE,8100379,7569801
670,SSRRHLE,8100379,7653522
671,SSRRSOZ,8170383,15669776
672,SSRRSOZ,8170383,15669881
673,SSRRSOZ,8170383,15669965
674,SSRRSOZ,8170383,15669818
675,SSRRSOZ,8170383,15669861
676,SSRRZSO,8137302,15669880
677,SSRRZSO,8137302,15669857
678,SSRRZSO,8137302,15669814
679,SSRRZSO,8137302,15669772
680,SSRRZSO,8137302,15668379
681,SSRSNWR,7387995,15668460
682,SSRSNWR,7387995,15668466
683,SSRSNWR,7387995,15669777
684,SSRSNWR,7387995,15669775
685,SSRSNWR,7387995,15668453
686,SSRSRSO,8352895,15669776
687,SSRSRSO,8352895,15669817
688,SSRSRSO,8352895,15670267
689,SSRSRSO,8352895,15669778
690,SSRSRSO,8352895,15670269
691,SSRWCWC,8070264,15668460
692,SSRWCWC,8070264,15668381
693,SSRWCWC,8070264,15669856
694,SSRWCWC,8070264,7735707
695,SSRWCWC,8070264,15669910
696,SSRWONW,8265380,15669856
697,SSRWONW,8265380,15669824
698,SSRWONW,8265380,15669996
699,SSRWONW,8265380,7625556
700,SSRWONW,8265380,15670267
701,SSRWWCE,8216673,15669777
702,SSRWWCE,8216673,15669780
703,SSRWWCE,8216673,15669764
704,SSRWWCE,8216673,15668684
705,SSRWWCE,8216673,15668379
706,SSRZESC,8114869,15668684
707,SSRZESC,8114869,7572254
708,SSRZESC,8114869,15669874
709,SSRZESC,8114869,15669857
710,SSRZESC,8114869,15668378
711,SSRZHCC,8204185,15669775
712,SSRZHCC,8204185,15669857
713,SSRZHCC,8204185,15669760
714,SSRZHCC,8204185,15669817
715,SSRZHCC,8204185,15669863
716,SSRZHHN,8075506,15669863
717,SSRZHHN,8075506,15668460
718,SSRZHHN,8075506,15669878
719,SSRZHHN,8075506,15669856
720,SSRZHHN,8075506,7580802
721,SSRZOES,8344961,15669814
722,SSRZOES,8344961,15669823
723,SSRZOES,8344961,15669861
724,SSRZOES,8344961,15669772
725,SSRZOES,8344961,15669869
726,SSSCCOE,8198030,15669856
727,SSSCCOE,8198030,15668379
728,SSSCCOE,8198030,15669760
729,SSSCCOE,8198030,15669863
730,SSSCCOE,8198030,7572254
731,SSSCNCC,8282484,15669790
732,SSSCNCC,8282484,15669874
733,SSSCNCC,8282484,7625556
734,SSSCNCC,8282484,34987566
735,SSSCNCC,8282484,15669791
736,SSSCNRE,8269393,15669823
737,SSSCNRE,8269393,15669825
738,SSSCNRE,8269393,15669760
739,SSSCNRE,8269393,15669869
740,SSSCNRE,8269393,15669824
741,SSSCOCW,8122275,15669772
742,SSSCOCW,8122275,15669869
743,SSSCOCW,8122275,15669778
744,SSSCOCW,8122275,15669761
745,SSSCOCW,8122275,34986328
746,SSSCOOH,8061961,15668688
747,SSSCOOH,8061961,15668451
748,SSSCOOH,8061961,15669878
749,SSSCOOH,8061961,15668379
750,SSSCOOH,8061961,15668460
751,SSSELNE,7348817,15669781
752,SSSELNE,7348817,15669775
753,SSSELNE,7348817,15669857
754,SSSELNE,7348817,15669832
755,SSSELNE,7348817,15669772
756,SSSELZZ,8108248,15668460
757,SSSELZZ,8108248,7587664
758,SSSELZZ,8108248,7587675
759,SSSELZZ,8108248,15668688
760,SSSELZZ,8108248,7587648
761,SSSESRC,7462903,15669856
762,SSSESRC,7462903,15668478
763,SSSESRC,7462903,15668449
764,SSSESRC,7462903,15669878
765,SSSESRC,7462903,15668468
766,SSSEWCH,8094384,15668688
767,SSSEWCH,8094384,15668467
768,SSSEWCH,8094384,7593949
769,SSSEWCH,8094384,15668460
770,SSSEWCH,8094384,15668455
771,SSSEWLS,8082175,15669856
772,SSSEWLS,8082175,15668688
773,SSSEWLS,8082175,15669772
774,SSSEWLS,8082175,15669773
775,SSSEWLS,8082175,15668478
776,SSSHCLH,8145688,15668378
777,SSSHCLH,8145688,15669764
778,SSSHCLH,8145688,15669860
779,SSSHCLH,8145688,15669861
780,SSSHCLH,8145688,15669872
781,SSSHLHL,7486730,15668467
782,SSSHLHL,7486730,15668379
783,SSSHLHL,7486730,15668381
784,SSSHLHL,7486730,15669832
785,SSSHLHL,7486730,15668460
